maturity,cure,block,skins,weight
50%,traditional,1,1,0
50%,traditional,1,2,18
50%,traditional,1,3,27
50%,traditional,1,4,5
50%,traditional,1,5,0
50%,traditional,2,1,0
50%,traditional,2,2,17
50%,traditional,2,3,24
50%,traditional,2,4,8
50%,traditional,2,5,1
50%,traditional,3,1,0
50%,traditional,3,2,17
50%,traditional,3,3,25
50%,traditional,3,4,8
50%,traditional,3,5,0
50%,traditional,4,1,0
50%,traditional,4,2,19
50%,traditional,4,3,25
50%,traditional,4,4,6
50%,traditional,4,5,0
70%,traditional,1,1,0
70%,traditional,1,2,18
70%,traditional,1,3,26
70%,traditional,1,4,5
70%,traditional,1,5,1
70%,traditional,2,1,1
70%,traditional,2,2,16
70%,traditional,2,3,26
70%,traditional,2,4,7
70%,traditional,2,5,0
70%,traditional,3,1,2
70%,traditional,3,2,21
70%,traditional,3,3,22
70%,traditional,3,4,5
70%,traditional,3,5,0
70%,traditional,4,1,1
70%,traditional,4,2,16
70%,traditional,4,3,25
70%,traditional,4,4,8
70%,traditional,4,5,0
90%,traditional,1,1,3
90%,traditional,1,2,21
90%,traditional,1,3,24
90%,traditional,1,4,2
90%,traditional,1,5,0
90%,traditional,2,1,1
90%,traditional,2,2,22
90%,traditional,2,3,24
90%,traditional,2,4,3
90%,traditional,2,5,0
90%,traditional,3,1,2
90%,traditional,3,2,21
90%,traditional,3,3,24
90%,traditional,3,4,3
90%,traditional,3,5,0
90%,traditional,4,1,3
90%,traditional,4,2,23
90%,traditional,4,3,20
90%,traditional,4,4,4
90%,traditional,4,5,0
95%,traditional,1,1,3
95%,traditional,1,2,25
95%,traditional,1,3,20
95%,traditional,1,4,2
95%,traditional,1,5,0
95%,traditional,2,1,5
95%,traditional,2,2,22
95%,traditional,2,3,20
95%,traditional,2,4,3
95%,traditional,2,5,0
95%,traditional,3,1,4
95%,traditional,3,2,20
95%,traditional,3,3,24
95%,traditional,3,4,2
95%,traditional,3,5,0
95%,traditional,4,1,6
95%,traditional,4,2,26
95%,traditional,4,3,17
95%,traditional,4,4,0
95%,traditional,4,5,1
100%,traditional,1,1,6
100%,traditional,1,2,32
100%,traditional,1,3,10
100%,traditional,1,4,2
100%,traditional,1,5,0
100%,traditional,2,1,9
100%,traditional,2,2,21
100%,traditional,2,3,19
100%,traditional,2,4,1
100%,traditional,2,5,0
100%,traditional,3,1,15
